,name ,serving_size,calories,total_fat,saturated_fat,cholesterol,vitamin_a,vitamin_a_rae,vitamin_b12,vitamin_b6,vitamin_c,vitamin_e,tocopherol_alpha,vitamin_k,carbohydrate,fiber,sugars,fat
23,"Candies, sesame crunch",100 g,516,33g,4.7g,0,6,0,0,0.491,0,0.16,0.16,0,50.30 g,7.7 g,31.17 g,33.30 g
24,"Cheese, low fat, cream",100 g,201,15g,9.1g,54,552,161,0.92,0.045,0,0.27,0.27,1.1,8.13 g,0.0 g,5.82 g,15.28 g
25,"PACE, Green Taco Sauce",100 g,25,0g,,0,0,0,0,0,0,0,0,0,6.25 g,0,6.25 g,0.00 g
26,"Syrup, Canadian, maple",100 g,270,0g,,0,0,0,0,0,0,0,0,0,67.38 g,0.0 g,59.92 g,0.00 g
27,"Ostrich, raw, top loin",100 g,119,3g,1.2g,75,0,0,4.94,0.509,0,0.2,0.2,0,0.00 g,0.0 g,0.00 g,2.95 g
28,"Chewing gum, sugarless",100 g,268,0.4g,0.1g,0,0,0,0,0,0,0,0,0,94.80 g,2.4 g,0.00 g,0.40 g
29,"Nuts, dried, pine nuts",100 g,673,68g,4.9g,0,29,1,0,0.094,0.8,9.33,9.33,53.9,13.08 g,3.7 g,3.59 g,68.37 g
30,"Pasta, unenriched, dry",100 g,371,1.5g,0.3g,0,0,0,0,0.142,0,0.11,0.11,0.1,74.67 g,3.2 g,2.67 g,1.51 g
31,"McDONALD'S, Side Salad",100 g,20,0.2g,,0,2850,0,0,0,15.7,0,0,0,4.30 g,1.6 g,2.24 g,0.19 g
32,"Cookies, Marie biscuit",100 g,406,11g,5.3g,0,3,1,0.19,0.074,0,0.45,0.45,3.8,70.54 g,3.5 g,21.16 g,10.58 g
33,"Broccoli, raw, chinese",100 g,30,0.8g,0.1g,0,1720,86,0,0.074,29.6,0.5,0.5,89.1,4.67 g,2.6 g,0.88 g,0.76 g
34,"McDONALD'S, Hash Brown",100 g,271,16g,2.3g,0,2,0,0,0.18,5.6,2.14,2.14,0,28.56 g,2.8 g,0.54 g,16.30 g
35,"Agave, raw (Southwest)",100 g,68,0.2g,,0,37,2,0,0.055,4,0.23,0.23,5.3,16.23 g,6.6 g,2.58 g,0.15 g
36,"Emu, raw, outside drum",100 g,103,0.5g,0.1g,78,0,0,6.92,0.676,0,0.17,0.17,0,0.00 g,0.0 g,0.00 g,0.48 g
37,"Nuts, dried, beechnuts",100 g,576,50g,5.7g,0,0,0,0,0.684,15.5,0,0,0,33.50 g,0,0,50.00 g
38,"Currants, dried, zante",100 g,283,0.3g,,0,73,4,0,0.296,4.7,0.11,0.11,3.3,74.08 g,6.8 g,67.28 g,0.27 g
39,"Lentils, raw, sprouted",100 g,106,0.6g,0.1g,0,45,2,0,0.19,16.5,0,0,0,22.14 g,0,0,0.55 g
40,"Gravy, mix, dry, onion",100 g,322,3g,1.9g,2,0,0,0.7,0.1,7,0,0,0,67.64 g,6.0 g,0,3.00 g
41,"Pie, fruit, fried pies",100 g,316,16g,2.5g,0,27,5,0.08,0.03,1.3,1.72,1.72,4.1,42.60 g,2.6 g,21.40 g,16.10 g
42,"Snacks, cakes, popcorn",100 g,384,3.1g,0.5g,0,72,4,0,0.181,0,0.29,0.29,1.1,80.10 g,2.9 g,0.72 g,3.10 g
43,"Snack, Mixed Berry Bar",100 g,383,11g,3.8g,0,97,27,0.51,0.116,0.6,0.29,0.29,1.6,58.84 g,7.9 g,26.32 g,10.53 g
44,"Fish, raw, sheepshead",100 g,108,2.4g,0.6g,50,100,30,2,0.3,0,0,0,0,0.00 g,0.0 g,0,2.41 g
45,"Babyfood, pear, juice",100 g,47,0g,,0,0,0,0,0.01,33.8,0.09,0.09,3.4,11.86 g,0.1 g,7.28 g,0.00 g
46,"Brussels sprouts, raw",100 g,43,0.3g,0.1g,0,754,38,0,0.219,85,0.88,0.88,177,8.95 g,3.8 g,2.20 g,0.30 g
47,"Broccoli raab, cooked",100 g,33,0.5g,0.1g,0,4533,227,0,0.22,37,2.53,2.53,256,3.12 g,2.8 g,0.62 g,0.52 g
48,"Butter oil, anhydrous",100 g,876,99g,62g,256,3069,840,0.01,0.001,0,2.8,2.8,8.6,0.00 g,0.0 g,0.00 g,99.48 g
49,"Chicory, raw, witloof",100 g,17,0.1g,,0,29,1,0,0.042,2.8,0,0,0,4.00 g,3.1 g,0,0.10 g
50,"KEEBLER, Waffle Cones",100 g,424,5.3g,0.9g,0,0,0,0,0.03,0,0.05,0.05,0,87.70 g,1.8 g,31.60 g,5.30 g
51,"KEEBLER, Waffle Bowls",100 g,424,5.3g,0.9g,0,0,0,0,0.03,0,0.05,0.05,0,87.70 g,1.8 g,31.60 g,5.30 g
52,"Broccoli, raw, leaves",100 g,28,0.4g,0.1g,0,16000,0,0,0.159,93.2,0,0,0,5.06 g,2.3 g,1.48 g,0.35 g
53,"Durian, raw or frozen",100 g,147,5.3g,,0,44,2,0,0.316,19.7,0,0,0,27.09 g,3.8 g,0,5.33 g
54,"Tomatoes, raw, orange",100 g,16,0.2g,,0,1496,75,0,0.06,16,0,0,0,3.18 g,0.9 g,0,0.19 g
55,"Tomatoes, raw, yellow",100 g,15,0.3g,,0,0,0,0,0.056,9,0,0,0,2.98 g,0.7 g,0,0.26 g
56,"Egg custards, dry mix",100 g,410,6.4g,2g,258,217,63,1.17,0.216,0.4,0,0,0,82.80 g,0.0 g,0,6.40 g
57,"Peanut flour, low fat",100 g,428,22g,3g,0,0,0,0,0.304,0,0,0,0,31.27 g,15.8 g,0,21.90 g
58,"Fish, smoked, haddock",100 g,116,1g,0.2g,77,80,24,1.6,0.4,0,0.55,0.55,0.1,0.00 g,0.0 g,0.00 g,0.96 g
59,"DENNY'S, french fries",100 g,282,14g,2.5g,0,0,0,0,0.22,1.6,0.98,0.98,28.8,35.20 g,3.5 g,0.85 g,14.13 g
60,"Ground turkey, cooked",100 g,203,10g,2.7g,93,79,24,1.34,0.633,0,0.11,0.11,0,0.00 g,0.0 g,0.00 g,10.40 g
61,"MURRAY, Vanilla Wafer",100 g,461,17g,5.7g,1,0,0,0,0,0,0,0,0,72.90 g,1.4 g,31.50 g,17.40 g
62,"WENDY'S, french fries",100 g,301,14g,2.8g,0,0,0,0,0.387,3.8,2,2,6.4,39.73 g,4.0 g,0.40 g,14.10 g
63,"Bread, toasted, wheat",100 g,313,4.3g,1g,0,0,0,0,0.153,0.2,0.24,0.24,5.7,55.77 g,4.7 g,6.42 g,4.27 g
64,"Danish pastry, cheese",100 g,374,22g,6.8g,23,128,35,0.2,0.04,0.1,0.35,0.35,6.9,37.20 g,1.0 g,6.95 g,21.90 g
65,"Nuts, glazed, walnuts",100 g,500,36g,3.6g,0,0,0,0,0,0,0,0,0,47.59 g,3.6 g,32.14 g,35.71 g
66,"Spices, garlic powder",100 g,331,0.7g,0.2g,0,0,0,0,1.654,1.2,0.67,0.67,0.4,72.73 g,9.0 g,2.43 g,0.73 g
67,"Oil, soybean lecithin",100 g,763,100g,15g,0,0,0,0,0,0,8.18,8.18,183.9,0.00 g,0.0 g,0.00 g,100.00 g
68,"Egg, fresh, raw, yolk",100 g,322,27g,9.6g,1085,1442,381,1.95,0.35,0,2.58,2.58,0.7,3.59 g,0.0 g,0.56 g,26.54 g
69,"Fireweed, raw, leaves",100 g,103,2.8g,,0,3598,180,0,0.632,2.2,0,0,0,19.22 g,10.6 g,0,2.75 g
70,"Beef, pastrami, cured",100 g,147,5.8g,2.7g,68,42,2,1.87,0.221,0.3,0.12,0.12,0.7,0.36 g,0.0 g,0.10 g,5.82 g
71,"Frankfurter, meatless",100 g,233,14g,1.7g,0,0,0,2.35,0.078,0,1.92,1.92,0,7.70 g,3.9 g,0.00 g,13.73 g
72,"Emu, raw, flat fillet",100 g,102,0.7g,0.2g,71,0,0,6.12,0.582,0,0.22,0.22,0,0.00 g,0.0 g,0.00 g,0.74 g
73,"Emu, raw, inside drum",100 g,108,1.5g,0.4g,67,17,5,2.26,0.626,0,0.22,0.22,0,0.00 g,0.0 g,0.00 g,1.49 g
74,"Ice creams, chocolate",100 g,216,11g,6.8g,34,416,118,0.29,0.055,0.7,0.3,0.3,0.3,28.20 g,1.2 g,25.36 g,11.00 g
75,"Snacks, potato sticks",100 g,522,34g,8.9g,0,0,0,0,0.32,47.3,9.11,9.11,22.1,53.30 g,3.4 g,0.22 g,34.40 g
76,"USDA Commodity, salsa",100 g,36,0.2g,,0,550,28,0,0.149,4,0,0,0,7.00 g,1.4 g,0,0.20 g
77,"Figs, uncooked, dried",100 g,249,0.9g,0.1g,0,10,0,0,0.106,1.2,0.35,0.35,15.6,63.87 g,9.8 g,47.92 g,0.93 g
78,"Game meat, raw, horse",100 g,133,4.6g,1.4g,52,0,0,3,0.38,1,0,0,0,0.00 g,0.0 g,0,4.60 g
79,"Syrup, fruit flavored",100 g,261,0g,,0,0,0,0,0,0,0,0,0,65.10 g,0.0 g,65.00 g,0.02 g
80,"Broccoli, raw, stalks",100 g,28,0.4g,0.1g,0,400,20,0,0.159,93.2,0,0,0,5.24 g,0,0,0.35 g
81,"Cream, cultured, sour",100 g,198,19g,10g,59,447,124,0.21,0.041,0.9,0.38,0.38,1.5,4.63 g,0.0 g,3.41 g,19.35 g
82,"Gravy, canned, au jus",100 g,16,0.2g,0.1g,0,0,0,0.1,0.01,1,0,0,0,2.50 g,0.0 g,0,0.20 g
83,"McDONALD'S, Hamburger",100 g,264,10g,3.5g,27,55,0,0.83,0,0.6,0,0,0,30.28 g,1.3 g,6.03 g,10.09 g
84,"Cheese, port de salut",100 g,352,28g,17g,123,1092,315,1.5,0.053,0,0.24,0.24,2.4,0.57 g,0.0 g,0.57 g,28.20 g
85,SILK Original Creamer,100 g,100,6.7g,,0,0,0,0,0,0,0,0,0,6.67 g,0.0 g,0.00 g,6.67 g
86,SILK Hazelnut Creamer,100 g,133,6.7g,,0,0,0,0,0,200,0,0,0,20.00 g,0.0 g,20.00 g,6.67 g
87,"Soup, mix, dry, onion",100 g,293,0.3g,0.1g,0,15,1,0,0.582,3.4,0.13,0.13,1.4,65.07 g,6.6 g,4.65 g,0.34 g
88,"Mushrooms, raw, enoki",100 g,37,0.3g,,0,0,0,0,0.1,0,0.01,0.01,0,7.81 g,2.7 g,0.22 g,0.29 g
89,Bacon and beef sticks,100 g,517,44g,16g,102,0,0,1.9,0.5,0,0,0,1.6,0.80 g,0.0 g,0.80 g,44.20 g
90,"Salami, pork, Italian",100 g,425,37g,13g,80,0,0,2.8,0.55,0,0,0,0,1.20 g,0.0 g,1.20 g,37.00 g
91,"Crackers, whole-wheat",100 g,427,14g,2.1g,0,0,0,0,0.185,0,1.41,1.41,27.2,69.55 g,10.3 g,1.19 g,14.13 g
92,"Peanuts, raw, spanish",100 g,570,50g,7.1g,0,0,0,0,0.348,0,0,0,0,15.83 g,9.5 g,0,49.60 g
93,"Hominy, white, canned",100 g,72,0.9g,0.1g,0,1,0,0,0.005,0,0.05,0.05,0.2,14.26 g,2.5 g,1.82 g,0.88 g
94,"Game meat, raw, moose",100 g,102,0.7g,0.2g,59,0,0,0,0,4,0,0,0,0.00 g,0.0 g,0,0.74 g
95,"Pears, red anjou, raw",100 g,62,0.1g,,0,24,1,0,0.039,5.2,0.12,0.12,4.9,14.94 g,3.0 g,9.54 g,0.14 g
96,"Horseradish, prepared",100 g,48,0.7g,0.1g,0,2,0,0,0.073,24.9,0.01,0.01,1.3,11.29 g,3.3 g,7.99 g,0.69 g
97,"Fish, raw, butterfish",100 g,146,8g,3.4g,65,100,30,1.9,0.3,0,0,0,0,0.00 g,0.0 g,0,8.02 g
98,"Lebanon bologna, beef",100 g,172,10g,2.8g,55,39,12,2.9,0.391,0.9,0.57,0.57,0.3,0.44 g,0.0 g,0.00 g,10.44 g
99,Ham and cheese spread,100 g,245,19g,8.6g,61,304,91,0.73,0.13,0,0,0,0,2.28 g,0.0 g,0,18.53 g
100,"TACO BELL, Taco Salad",100 g,170,9.2g,3g,19,62,3,0.4,0.103,0,0.54,0.54,10.7,15.10 g,3.0 g,0,9.17 g
101,"Sauce, worcestershire",100 g,78,0g,,0,79,5,0,0,13,0.08,0.08,1,19.46 g,0.0 g,10.03 g,0.00 g
102,"Candies, marshmallows",100 g,318,0.2g,0.1g,0,0,0,0,0.003,0,0,0,0,81.30 g,0.1 g,57.56 g,0.20 g
103,"Hummus, home prepared",100 g,177,8.6g,1.1g,0,5,0,0,0.399,7.9,0.75,0.75,3,20.12 g,4.0 g,0.27 g,8.59 g
104,Horned melon (Kiwano),100 g,44,1.3g,,0,147,7,0,0.063,5.3,0,0,0,7.56 g,0,0,1.26 g
105,Ice cream sundae cone,100 g,254,14g,2.7g,15,410,117,0.35,0.05,0,0.11,0.11,0.5,28.89 g,1.0 g,21.26 g,14.00 g
106,"Peppers, raw, serrano",100 g,32,0.4g,0.1g,0,937,47,0,0.505,44.9,0.69,0.69,11.8,6.70 g,3.7 g,3.83 g,0.44 g
107,"Cabbage, cooked, napa",100 g,12,0.2g,,0,263,13,0,0.037,3.2,0,0,0,2.23 g,0,0,0.17 g
108,"Peppers, dried, ancho",100 g,281,8.2g,0.8g,0,20438,1022,0,3.535,2,0,0,0,51.42 g,21.6 g,0,8.20 g
109,"Parsley, freeze-dried",100 g,271,5.2g,,0,63240,0,0,1.375,149,0,0,0,42.38 g,32.7 g,0,5.20 g
110,"Spices, black, pepper",100 g,251,3.3g,1.4g,0,547,27,0,0.291,0,1.04,1.04,163.7,63.95 g,25.3 g,0.64 g,3.26 g
111,"Spices, white, pepper",100 g,296,2.1g,0.6g,0,0,0,0,0.1,21,0,0,0,68.61 g,26.2 g,0,2.12 g
112,"Yambean (jicama), raw",100 g,38,0.1g,,0,21,1,0,0.042,20.2,0.46,0.46,0.3,8.82 g,4.9 g,1.80 g,0.09 g
113,"Nuts, dried, pilinuts",100 g,719,80g,31g,0,41,2,0,0.115,0.6,0,0,0,3.98 g,0,0,79.55 g
114,"Kiwifruit, raw, green",100 g,61,0.5g,,0,87,4,0,0.063,92.7,1.46,1.46,40.3,14.66 g,3.0 g,8.99 g,0.52 g
115,"Drumstick leaves, raw",100 g,64,1.4g,,0,7564,378,0,1.2,51.7,0,0,0,8.28 g,2.0 g,0,1.40 g
116,"Yautia (tannier), raw",100 g,98,0.4g,0.1g,0,8,0,0,0.237,5.2,0,0,0,23.63 g,1.5 g,0,0.40 g
117,"Candies, butterscotch",100 g,391,3.3g,2.1g,9,100,28,0,0,0,0.09,0.09,0.3,90.40 g,0.0 g,80.46 g,3.30 g
118,"Cucumber, raw, peeled",100 g,12,0.2g,,0,72,4,0,0.051,3.2,0.03,0.03,7.2,2.16 g,0.7 g,1.38 g,0.16 g
119,"Dandelion greens, raw",100 g,45,0.7g,0.2g,0,10161,508,0,0.251,35,3.44,3.44,778.4,9.20 g,3.5 g,0.71 g,0.70 g
120,"Melons, raw, honeydew",100 g,36,0.1g,,0,50,3,0,0.088,18,0.02,0.02,2.9,9.09 g,0.8 g,8.12 g,0.14 g
121,Potato salad with egg,100 g,157,9.4g,1.4g,17,163,19,0.07,0.115,0.8,0.68,0.68,14.3,16.18 g,1.3 g,4.95 g,9.40 g
122,"Mushrooms, raw, white",100 g,22,0.3g,0.1g,0,0,0,0.04,0.104,2.1,0.01,0.01,0,3.26 g,1.0 g,1.98 g,0.34 g
123,"Mushrooms, raw, morel",100 g,31,0.6g,0.1g,0,0,0,0,0.136,0,0,0,0,5.10 g,2.8 g,0.60 g,0.57 g
124,"Cheese, Mexican blend",100 g,358,29g,17g,95,659,174,1.23,0.061,0,0.25,0.25,2.5,1.75 g,0.0 g,1.23 g,28.51 g
125,"Oranges, Florida, raw",100 g,46,0.2g,,0,225,11,0,0.051,45,0.18,0.18,0,11.54 g,2.4 g,9.14 g,0.21 g
126,"SILK Vanilla, soymilk",100 g,41,1.4g,0.2g,0,206,0,1.23,0,0,0,0,0,4.12 g,0.4 g,2.88 g,1.44 g
127,"Papaya nectar, canned",100 g,57,0.2g,,0,361,18,0,0.009,3,0.24,0.24,0.8,14.51 g,0.6 g,13.91 g,0.15 g
128,"Fiddlehead ferns, raw",100 g,34,0.4g,,0,3617,181,0,0,26.6,0,0,0,5.54 g,0,0,0.40 g
129,SILK Peach soy yogurt,100 g,94,1.2g,,0,0,0,0,0,17.6,0,0,0,18.82 g,0.6 g,14.71 g,1.18 g
130,SILK Plain soy yogurt,100 g,66,1.8g,0.2g,0,0,0,0,0,13.2,0,0,0,9.69 g,0.4 g,5.29 g,1.76 g
131,"PACE, Enchilada Sauce",100 g,40,0g,,0,667,0,0,0,2,0,0,0,8.33 g,1.7 g,6.67 g,0.00 g
132,Yeast extract spread,100 g,185,0.9g,,0,0,0,0.5,0,0,0,0,0,20.42 g,6.5 g,1.60 g,0.90 g
133,"Tomatoes, raw, green",100 g,23,0.2g,,0,642,32,0,0.081,23.4,0.38,0.38,10.1,5.10 g,1.1 g,4.00 g,0.20 g
134,"Mollusks, raw, snail",100 g,90,1.4g,0.4g,50,100,30,0.5,0.13,0,5,5,0.1,2.00 g,0.0 g,0.00 g,1.40 g
135,"Emu, raw, fan fillet",100 g,103,0.8g,0.2g,71,0,0,6.67,0.634,0,0.22,0.22,0,0.00 g,0.0 g,0.00 g,0.80 g
136,"Pasta, enriched, dry",100 g,371,1.5g,0.3g,0,0,0,0,0.142,0,0.11,0.11,0.1,74.67 g,3.2 g,2.67 g,1.51 g
137,"Cookies, gingersnaps",100 g,416,9.8g,2.5g,0,2,0,0,0.098,0,0.97,0.97,2.5,76.90 g,2.2 g,19.92 g,9.80 g
138,"Sour cream, fat free",100 g,74,0g,,9,255,73,0.3,0.02,0,0,0,0,15.60 g,0.0 g,0.39 g,0.00 g
139,"MURRAY, Honey Graham",100 g,445,13g,3.2g,0,0,0,0,0,0,0,0,0,75.70 g,2.7 g,22.00 g,13.20 g
140,"Frankfurter, chicken",100 g,223,16g,3.9g,96,0,0,0.54,0.323,0,0.22,0.22,0,2.74 g,0.0 g,2.98 g,16.19 g
141,"Ham, canned, chopped",100 g,239,19g,6.3g,49,0,0,0.7,0.32,2,0.25,0.25,0,0.26 g,0.0 g,0.00 g,18.83 g
142,"Spices, dried, thyme",100 g,276,7.4g,2.7g,0,3800,190,0,0.55,50,7.48,7.48,1714.5,63.94 g,37.0 g,1.71 g,7.43 g
143,"Carrot juice, canned",100 g,40,0.2g,,0,19124,956,0,0.217,8.5,1.16,1.16,15.5,9.28 g,0.8 g,3.91 g,0.15 g
144,"Corn, dried (Navajo)",100 g,386,5.2g,0.8g,0,0,0,0,0.372,0,0,0,0.9,74.93 g,0,5.38 g,5.22 g
145,"Pate, truffle flavor",100 g,327,29g,10g,105,15000,4505,3.2,0.06,2,0,0,0,6.30 g,0,0,28.50 g
146,"Fruit butters, apple",100 g,173,0.3g,0.1g,0,22,1,0,0.037,0.6,0.05,0.05,0.9,42.47 g,1.5 g,35.30 g,0.30 g
147,"Fast foods, coleslaw",100 g,153,9.9g,1.6g,4,95,28,0.01,0.112,14.6,0.54,0.54,70.9,14.89 g,1.9 g,12.19 g,9.91 g
148,"Salami, beef, cooked",100 g,261,22g,9.9g,71,0,0,3.06,0.18,0,0.19,0.19,1.3,1.90 g,0.0 g,1.50 g,22.20 g
149,"Spices, chili powder",100 g,282,14g,2.5g,0,29650,1483,0,2.094,0.7,38.14,38.14,105.7,49.70 g,34.8 g,7.19 g,14.28 g
150,"Spices, caraway seed",100 g,333,15g,0.6g,0,363,18,0,0.36,21,2.5,2.5,0,49.90 g,38.0 g,0.64 g,14.59 g
151,"Spices, dried, basil",100 g,233,4.1g,2.2g,0,744,37,0,1.34,0.8,10.7,10.7,1714.5,47.75 g,37.7 g,1.71 g,4.07 g
152,"Pickle relish, sweet",100 g,130,0.5g,0.1g,0,1218,61,0,0.015,1,0.58,0.58,83.8,35.06 g,1.1 g,29.13 g,0.47 g
153,"Chives, freeze-dried",100 g,311,3.5g,0.6g,0,68300,3415,0,1.996,660,0,0,0,64.29 g,26.2 g,0,3.50 g
154,"Fish, raw, sablefish",100 g,195,15g,3.2g,49,310,93,1.5,0.3,0,0,0,0,0.00 g,0.0 g,0,15.30 g
155,"Crackers, multigrain",100 g,482,20g,3.3g,0,5,0,0,0.117,0,1.75,1.75,36,67.60 g,3.5 g,12.00 g,20.40 g
156,"Spices, ground, mace",100 g,475,32g,9.5g,0,800,40,0,0.16,21,0,0,0,50.50 g,20.2 g,0,32.38 g
157,"Spices, onion powder",100 g,341,1g,0.2g,0,0,0,0,0.718,23.4,0.27,0.27,4.1,79.12 g,15.2 g,6.63 g,1.04 g
158,"Butter, without salt",100 g,717,81g,50g,215,2499,684,0.17,0.003,0,2.32,2.32,7,0.06 g,0.0 g,0.06 g,81.11 g
159,"Rice noodles, cooked",100 g,108,0.2g,,0,0,0,0,0.006,0,0.03,0.03,0,24.01 g,1.0 g,0.03 g,0.20 g
160,Barley flour or meal,100 g,345,1.6g,0.3g,0,0,0,0,0.396,0,0.57,0.57,2.2,74.52 g,10.1 g,0.80 g,1.60 g
161,"Sesbania flower, raw",100 g,27,0g,,0,0,0,0,0,73,0,0,0,6.73 g,0,0,0.04 g
162,"Garlic bread, frozen",100 g,350,17g,5.3g,0,44,13,0.08,0.083,0.2,1.18,1.18,29.5,41.72 g,2.5 g,3.69 g,16.61 g
163,"KFC, Popcorn Chicken",100 g,351,22g,4g,40,0,0,0.14,0.502,0,1.32,1.32,17.4,21.18 g,1.0 g,0.00 g,21.74 g
164,"APPLEBEE'S, coleslaw",100 g,120,7.1g,1.1g,2,1504,77,0,0.129,13.7,0.5,0.5,65.1,13.17 g,2.8 g,9.33 g,7.09 g
165,"Rolls, sweet, dinner",100 g,321,7.4g,3.5g,55,135,40,0.21,0.11,0.2,0.38,0.38,0.6,53.58 g,3.1 g,15.38 g,7.37 g
166,"Cherries, raw, sweet",100 g,63,0.2g,,0,64,3,0,0.049,7,0.07,0.07,2.1,16.01 g,2.1 g,12.82 g,0.20 g
167,"Ostrich, raw, ground",100 g,165,8.7g,2.2g,71,0,0,4.61,0.475,0,0.24,0.24,0,0.00 g,0.0 g,0.00 g,8.70 g
168,"SILK Coffee, soymilk",100 g,62,1.4g,0.2g,0,123,0,0.37,0,0,0,0,0,10.29 g,0.0 g,9.47 g,1.44 g
169,"Snacks, banana chips",100 g,519,34g,29g,0,83,4,0,0.26,6.3,0.24,0.24,1.3,58.40 g,7.7 g,35.34 g,33.60 g
170,"Peaches, raw, yellow",100 g,39,0.3g,,0,326,16,0,0.025,6.6,0.73,0.73,2.6,9.54 g,1.5 g,8.39 g,0.25 g
171,"Rolls, wheat, dinner",100 g,273,6.3g,1.5g,0,0,0,0,0.076,0,0.36,0.36,2.7,46.00 g,3.8 g,1.63 g,6.30 g
172,"Candies, HEATH BITES",100 g,530,30g,16g,19,232,0,0,0,0.8,0,0,0,63.39 g,2.0 g,60.02 g,30.38 g
173,"Chicken, raw, ground",100 g,143,8.1g,2.3g,86,0,0,0.56,0.512,0,0.27,0.27,0.8,0.04 g,0.0 g,0.00 g,8.10 g
174,"Pears, bartlett, raw",100 g,63,0.2g,,0,28,1,0,0.026,4.4,0.12,0.12,3.8,15.01 g,3.1 g,9.69 g,0.16 g
175,"Toppings, strawberry",100 g,254,0.1g,,0,18,1,0,0.012,13.7,0.1,0.1,0.7,66.30 g,0.7 g,27.38 g,0.10 g
176,"KEEBLER, Sugar Cones",100 g,375,3.7g,0.8g,0,0,0,0,0,0,0,0,0,78.00 g,2.1 g,26.40 g,3.70 g
177,"Seaweed, raw, wakame",100 g,45,0.6g,0.1g,0,360,18,0,0.002,3,1,1,5.3,9.14 g,0.5 g,0.65 g,0.64 g
178,"Seaweed, dried, agar",100 g,306,0.3g,0.1g,0,0,0,0,0.303,0,5,5,24.4,80.88 g,7.7 g,2.97 g,0.30 g
179,"Bread, cracked-wheat",100 g,260,3.9g,0.9g,0,0,0,0.02,0.304,0,0,0,0,49.50 g,5.5 g,0,3.90 g
180,"Amaranth leaves, raw",100 g,23,0.3g,0.1g,0,2917,146,0,0.192,43.3,0,0,1140,4.02 g,0,0,0.33 g
